radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averagesignal
NR,505,3,20247,409747517,-1,151.0529,-33.8156,1000,3,1,1741799488,1741890483,0
NR,505,3,20247,415973437,-1,151.0449,-33.8136,1000,3,1,1741821839,1741890483,0
NR,505,3,20247,409862205,-1,151.0509,-33.8159,1000,1,1,1741821839,1741821839,0
NR,505,3,20282,416153682,-1,151.051,-33.8153,1000,2,1,1741821839,1741821841,0
NR,505,3,20247,409649214,-1,151.0527,-33.814,1000,1,1,1741821839,1741821839,0
NR,505,3,20247,409763902,-1,151.0553,-33.8095,1000,2,1,1741890477,1741890483,0
NR,505,3,20247,433160274,-1,151.0387,-33.8118,1000,6,1,1741890477,1741890483,0
NR,505,3,20247,433160254,-1,151.0399,-33.812,1000,6,1,1741890477,1741890483,0
NR,505,3,20247,431390803,-1,151.0406,-33.8121,1000,1,1,1741890477,1741890477,0
NR,505,3,20247,414187582,-1,151.0416,-33.8122,1000,1,1,1741890477,1741890477,0
NR,505,2,27504,7518150729,-1,153.0426,-27.4539,1000,6,1,1742935008,1744435082,0
NR,505,2,27501,7521566787,-1,153.0474,-27.4527,1000,2,1,1742938756,1749784081,0
NR,505,2,27504,7520329809,-1,153.0445,-27.4534,1000,8,1,1742938913,1744435083,0
NR,505,2,27504,7520329801,-1,153.0451,-27.4538,1000,1,1,1742938923,1742938923,0
NR,505,2,27504,7520329795,-1,153.045,-27.4538,1000,5,1,1742938943,1744435083,0
NR,505,2,27504,7517204498,-1,153.0458,-27.4518,1000,9,1,1742938973,1749784081,0
NR,505,2,27501,7521566795,-1,153.047,-27.4518,1000,23,1,1742939073,1749784081,0
NR,505,2,27504,7517204562,-1,153.0447,-27.4504,500,26,1,1742939083,1749784081,0
NR,505,2,27504,7518384146,-1,153.0452,-27.4528,1000,1,1,1742939203,1742939203,0
NR,505,2,27504,7518384210,-1,153.0453,-27.4513,1000,1,1,1742939294,1742939294,0
NR,505,2,27504,7517204563,-1,153.0426,-27.4507,1000,22,1,1742939399,1749784081,0
NR,505,2,27504,7517204555,-1,153.0451,-27.4506,1000,4,1,1742940293,1744001648,0
NR,505,2,27501,7521566803,-1,153.0476,-27.452,1000,7,1,1742942986,1749784081,0
NR,505,3,30345,584630335,-1,144.9442,-37.5411,1000,1,1,1743355255,1743355255,0
NR,505,3,30345,584630375,-1,144.9441,-37.5412,1000,3,1,1743355348,1743393722,0
NR,505,3,30345,588988522,-1,144.9442,-37.5411,1000,1,1,1743355499,1743355499,0
NR,505,3,30345,589660242,-1,144.9442,-37.5411,1000,1,1,1743356449,1743356449,0
NR,505,3,30345,584630378,-1,144.944,-37.5412,1000,1,1,1743356529,1743356529,0
NR,505,1,2119680,237402371,-1,151.2453,-33.7543,1000,6,1,1743380498,1743402241,0
NR,505,1,2119680,237401859,-1,151.2491,-33.7593,6179,11,1,1743381285,1743402242,0
NR,505,1,2119680,237075201,-1,151.2521,-33.7654,1233,28,1,1743381364,1743402242,0
NR,505,1,2119680,237075211,-1,151.2469,-33.763,1000,3,1,1743381425,1743402242,0
NR,505,1,2119680,237075202,-1,151.2768,-33.7827,1776,17,1,1743381614,1743481442,0
NR,505,1,2119680,233378562,-1,151.2634,-33.7759,1000,3,1,1743381645,1743402242,0
NR,505,1,2119680,233378564,-1,151.271,-33.7774,1083,33,1,1743381664,1743481502,0
NR,505,1,2119680,237402628,-1,151.2677,-33.7762,1000,13,1,1743381725,1743481502,0
NR,505,1,2119424,233006849,-1,151.2845,-33.7902,1000,17,1,1743382024,1743481442,0
NR,505,1,2119424,237598210,-1,151.2845,-33.8032,1000,21,1,1743382105,1744885744,0
NR,505,1,2119424,233006851,-1,151.285,-33.7997,1000,7,1,1743382125,1743457502,0
NR,505,1,2119168,235592961,-1,151.282,-33.8112,1438,11,1,1743382225,1744885744,0
NR,505,1,2119424,233006850,-1,151.2876,-33.8038,1000,2,1,1743382275,1743402242,0
NR,505,1,2119424,237597698,-1,151.2847,-33.8066,1000,21,1,1743382295,1743481503,0
NR,505,1,2119168,236784641,-1,151.2844,-33.8069,1000,2,1,1743436058,1743457501,0
NR,505,1,2119168,235694337,-1,151.2804,-33.8141,1000,23,1,1743436398,1744885744,0
NR,505,1,2119680,237282306,-1,151.2839,-33.8075,1000,2,1,1743436408,1743457502,0
NR,505,1,2119424,237597701,-1,151.2841,-33.8074,1000,2,1,1743436418,1743457501,0
NR,505,1,2117120,235681537,-1,151.2728,-33.8309,1000,21,1,1743436699,1744885744,0
NR,505,1,2119424,237583106,-1,151.2834,-33.8083,1000,3,1,1743436778,1743457501,0
NR,505,1,9444608,253502743,0,115.9077,-31.86,1000,1,1,1743461638,1743461638,0
NR,505,1,2119680,237075212,-1,151.279,-33.7821,1000,2,1,1743448311,1743481442,0
NR,505,1,2119680,237115650,-1,151.2679,-33.769,1000,14,1,1743448501,1743481502,0
NR,505,1,2119680,237771523,-1,151.2734,-33.7643,559,26,1,1743448511,1743481502,0
NR,505,1,2119680,237110531,-1,151.2742,-33.7636,1000,14,1,1743448571,1743481502,0
